dataset,sample_id,duration_group,json_duration_s,problems
librispeech,librispeech_5105-28233,very_long,33.389,ok
librispeech,librispeech_5105-28240,very_long,33.642,ok
librispeech,librispeech_5105-28241,very_long,39.528,ok
librispeech,librispeech_5142-33396,very_long,33.925,ok
librispeech,librispeech_5142-36377,very_long,34.308,ok
librispeech,librispeech_5639-40744,very_long,38.129,ok
librispeech,librispeech_5683-32865,very_long,31.634,ok
librispeech,librispeech_5683-32866,very_long,31.306,ok
librispeech,librispeech_5683-32879,very_long,34.605,ok
librispeech,librispeech_61-70968,very_long,31.381,ok
librispeech,librispeech_61-70970,very_long,32.68,ok
librispeech,librispeech_672-122797,very_long,34.256,ok
librispeech,librispeech_6829-68769,very_long,30.085,ok
librispeech,librispeech_6829-68771,extra_long,60.841,ok
librispeech,librispeech_6930-75918,extra_long,72.497,ok
librispeech,librispeech_6930-76324,extra_long,65.346,ok
librispeech,librispeech_6930-81414,extra_long,63.603,ok
librispeech,librispeech_7021-79730,extra_long,70.079,ok
librispeech,librispeech_7021-79740,extra_long,75.734,ok
librispeech,librispeech_7021-85628,extra_long,69.724,ok
librispeech,librispeech_7127-75946,extra_long,62.982,ok
librispeech,librispeech_7127-75947,extra_long,80.352,ok
librispeech,librispeech_7176-88083,extra_long,72.252,ok
librispeech,librispeech_7176-92135,extra_long,62.62,ok
librispeech,librispeech_7729-102255,extra_long,62.844,ok
librispeech,librispeech_8224-274381,extra_long,65.961,ok
librispeech,librispeech_8224-274384,extra_long,64.856,ok
librispeech,librispeech_8230-279154,extra_long,62.333,ok
aishell1,aishell1_S0002_01,long,16.205,ok
aishell1,aishell1_S0003_01,long,22.205,ok
aishell1,aishell1_S0004_01,long,15.202,ok
aishell1,aishell1_S0005_01,long,15.0,ok
aishell1,aishell1_S0006_01,long,17.737,ok
aishell1,aishell1_S0007_01,long,20.706,ok
aishell1,aishell1_S0008_01,long,17.69,ok
aishell1,aishell1_S0009_01,long,15.279,ok
aishell1,aishell1_S0010_01,long,19.142,ok
aishell1,aishell1_S0011_01,long,17.197,ok
aishell1,aishell1_S0012_01,long,19.602,ok
aishell1,aishell1_S0013_01,long,15.701,ok
aishell1,aishell1_S0014_01,long,17.045,ok
aishell1,aishell1_S0015_01,long,19.128,ok
aishell1,aishell1_S0016_01,long,16.408,ok
aishell1,aishell1_S0017_01,long,18.77,ok
aishell1,aishell1_S0018_01,long,17.327,ok
aishell1,aishell1_S0019_01,long,18.165,ok
aishell1,aishell1_S0020_01,long,16.234,ok
aishell1,aishell1_S0021_01,long,17.768,ok
aishell1,aishell1_S0022_01,long,19.507,ok
aishell1,aishell1_S0023_01,long,15.405,ok
aishell1,aishell1_S0024_01,long,18.824,ok
aishell1,aishell1_S0025_01,long,15.887,ok
aishell1,aishell1_S0026_01,long,17.471,ok
aishell1,aishell1_S0027_01,long,16.586,ok
aishell1,aishell1_S0028_01,long,16.474,ok
aishell1,aishell1_S0029_01,long,18.882,ok
aishell1,aishell1_S0030_01,long,18.328,ok
aishell1,aishell1_S0031_01,long,20.395,ok
aishell1,aishell1_S0032_01,very_long,34.148,ok
aishell1,aishell1_S0033_01,very_long,31.166,ok
aishell1,aishell1_S0034_01,very_long,34.817,ok
aishell1,aishell1_S0035_01,very_long,30.996,ok
aishell1,aishell1_S0036_01,very_long,30.378,ok
aishell1,aishell1_S0037_01,very_long,32.093,ok
aishell1,aishell1_S0038_01,very_long,32.051,ok
aishell1,aishell1_S0039_01,very_long,31.552,ok
aishell1,aishell1_S0040_01,very_long,34.243,ok
aishell1,aishell1_S0041_01,very_long,30.179,ok
aishell1,aishell1_S0042_01,very_long,35.351,ok
aishell1,aishell1_S0043_01,very_long,30.223,ok
aishell1,aishell1_S0044_01,very_long,33.808,ok
aishell1,aishell1_S0045_01,very_long,31.056,ok
aishell1,aishell1_S0046_01,very_long,31.991,ok
aishell1,aishell1_S0047_01,very_long,31.186,ok
aishell1,aishell1_S0048_01,very_long,34.203,ok
aishell1,aishell1_S0049_01,very_long,31.604,ok
aishell1,aishell1_S0050_01,very_long,36.132,ok
aishell1,aishell1_S0051_01,very_long,31.035,ok
aishell1,aishell1_S0052_01,very_long,31.902,ok
aishell1,aishell1_S0053_01,very_long,34.935,ok
aishell1,aishell1_S0054_01,very_long,31.647,ok
aishell1,aishell1_S0055_01,very_long,33.478,ok
aishell1,aishell1_S0056_01,very_long,34.039,ok
aishell1,aishell1_S0057_01,very_long,33.535,ok
aishell1,aishell1_S0058_01,very_long,32.869,ok
aishell1,aishell1_S0059_01,very_long,30.625,ok
aishell1,aishell1_S0060_01,very_long,30.831,ok
aishell1,aishell1_S0061_01,very_long,32.409,ok
aishell1,aishell1_S0062_01,extra_long,63.932,ok
aishell1,aishell1_S0063_01,extra_long,65.381,ok
aishell1,aishell1_S0064_01,extra_long,60.113,ok
aishell1,aishell1_S0065_01,extra_long,61.173,ok
aishell1,aishell1_S0066_01,extra_long,63.311,ok
aishell1,aishell1_S0067_01,extra_long,61.459,ok
aishell1,aishell1_S0068_01,extra_long,60.544,ok
aishell1,aishell1_S0069_01,extra_long,63.229,ok
aishell1,aishell1_S0070_01,extra_long,61.193,ok
aishell1,aishell1_S0071_01,extra_long,63.598,ok
aishell1,aishell1_S0072_01,extra_long,62.88,ok
aishell1,aishell1_S0073_01,extra_long,66.052,ok
aishell1,aishell1_S0074_01,extra_long,62.809,ok
aishell1,aishell1_S0075_01,extra_long,61.697,ok
aishell1,aishell1_S0076_01,extra_long,63.262,ok
